Item Description,Quantity,Unit,Unit Price,Extension
"Superpave Bituminous Concrete Wearing Surface Layer, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",1375,TON,81.51,112076.25
"Superpave Bituminous Concrete Wearing Surface Layer, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",1375,TON,91.71,126101.25
"Superpave Bituminous Concrete Wearing Surface Layer, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",1375,TON,122.19,168011.25
"Superpave Bituminous Concrete Lower Binder Layer, 1"" Maximum Aggregate Size Mix, ESAL Range E",21177,TON,62.64,1326527.28
"Superpave Bituminous Concrete Lower Binder Layer, 1"" Maximum Aggregate Size Mix, ESAL Range E",21177,TON,73.5,1556509.5
"Superpave Bituminous Concrete Lower Binder Layer, 1"" Maximum Aggregate Size Mix, ESAL Range E",21177,TON,85.46,1809786.42
"Superpave Bituminous Concrete Upper Binder Layer, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",1853,TON,66.07,122427.71
"Superpave Bituminous Concrete Upper Binder Layer, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",1853,TON,67.73,125505.54
"Superpave Bituminous Concrete Upper Binder Layer, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",1853,TON,101.99,188987.47
"Superpave Bituminous Concrete Lower Binder Layer, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",6229,TON,66.2,412359.8
"Superpave Bituminous Concrete Lower Binder Layer, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",6229,TON,65.52,408124.08
"Superpave Bituminous Concrete Lower Binder Layer, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",6229,TON,98.63,614366.27
"Superpave Bituminous Concrete Lower Binder Layer, Leveling, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",521,TON,95.97,50000.37
"Superpave Bituminous Concrete Lower Binder Layer, Leveling, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",521,TON,83.43,43467.03
"Superpave Bituminous Concrete Lower Binder Layer, Leveling, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",521,TON,150,78150
"Superpave Bituminous Concrete Lower Binder Layer, Leveling, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",1286,TON,67.81,87203.66
"Superpave Bituminous Concrete Lower Binder Layer, Leveling, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",1286,TON,66.12,85030.32
"Superpave Bituminous Concrete Lower Binder Layer, Leveling, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",1286,TON,150,192900
"Superpave Bituminous Concrete Wearing Surface Layer, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",682,TON,90.25,61550.5
"Superpave Bituminous Concrete Wearing Surface Layer, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",682,TON,72.88,49704.16
"Superpave Bituminous Concrete Wearing Surface Layer, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",682,TON,85,57970
"Superpave Bituminous Concrete Wearing Surface Layer, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",682,TON,97,66154
"Superpave Bituminous Concrete Wearing Surface Layer, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",682,TON,108,73656
"Superpave Bituminous Concrete Lower Binder Layer, 1"" Maximum Aggregate Size Mix, ESAL Range E",116,TON,99.75,11571
"Superpave Bituminous Concrete Lower Binder Layer, 1"" Maximum Aggregate Size Mix, ESAL Range E",116,TON,70.78,8210.48
