Item Description,Quantity,Unit,Unit Price,Extension
CL2 ASPH BASE 1.00D PG64-22,465,TON,99.8,46407
CL2 ASPH BASE 1.00D PG64-22,465,TON,99.8,46407
CL2 ASPH BASE 1.00D PG64-22,465,TON,99.8,46407
CL2 ASPH BASE 1.00D PG64-22,465,TON,99.8,46407
CL2 ASPH BASE 1.00D PG64-22,465,TON,99.8,46407
CL2 ASPH BASE 1.00D PG64-22,465,TON,110,51150
CL2 ASPH BASE 1.00D PG64-22,465,TON,99.8,46407
CL2 ASPH BASE 1.00D PG64-22 (REVISED:  12-2-11),636,TON,72.5,46110
CL2 ASPH BASE 1.00D PG64-22 (REVISED:  12-2-11),636,TON,76,48336
CL2 ASPH BASE 1.00D PG64-22 (REVISED:  12-2-11),636,TON,81,51516
CL2 ASPH BASE 1.00D PG64-22 (REVISED:  12-2-11),636,TON,95,60420
CL2 ASPH BASE 0.75D PG64-22 (ADDED:  12-2-11),15,TON,72.5,1087.5
CL2 ASPH BASE 0.75D PG64-22 (ADDED:  12-2-11),15,TON,76,1140
CL2 ASPH BASE 0.75D PG64-22 (ADDED:  12-2-11),15,TON,80,1200
CL2 ASPH BASE 0.75D PG64-22 (ADDED:  12-2-11),15,TON,110,1650
CL2 ASPH BASE 1.00D PG64-22,1206.1,TON,70.15,84607.91
CL3 ASPH BASE 1.00D PG64-22,27807.7,TON,64.25,1786644.73
CL2 ASPH SURF 0.38B PG64-22,139.8,TON,81.5,11393.7
CL3 ASPH SURF 0.38B PG64-22,3573.7,TON,81.5,291256.55
CL2 ASPH BASE 1.00D PG64-22,10054,TON,76.72,771342.88
CL2 ASPH BASE 1.00D PG64-22,10054,TON,76.58,769935.32
CL2 ASPH BASE 1.00D PG64-22,10054,TON,76.58,769935.32
CL3 ASPH BASE 1.00D PG64-22,7875,TON,77.76,612360
CL3 ASPH BASE 1.00D PG64-22,7875,TON,77.63,611336.25
CL3 ASPH BASE 1.00D PG64-22,7875,TON,77.63,611336.25
CL3 ASPH BASE 1.00D PG76-22,2917,TON,86.08,251095.36
CL3 ASPH BASE 1.00D PG76-22,2917,TON,85.11,248265.87
CL3 ASPH BASE 1.00D PG76-22,2917,TON,85.11,248265.87
CL2 ASPH SURF 0.50D PG64-22,2462,TON,86.66,213356.92
CL3 ASPH BASE 1.00D PG64-22,1923,TON,70,134610
CL3 ASPH SURF 0.38D PG64-22,577,TON,83,47891
CL2 ASPH BASE 0.75D PG64-22,16071,TON,79.95,1284876.45
CL2 ASPH BASE 0.75D PG64-22,16071,TON,79.95,1284876.45
CL2 ASPH BASE 0.75D PG64-22,16071,TON,79.95,1284876.45
CL2 ASPH BASE 0.75D PG64-22,16071,TON,79.95,1284876.45
CL2 ASPH BASE 0.75D PG64-22,16071,TON,79.95,1284876.45
CL2 ASPH BASE 0.75D PG64-22,16071,TON,79.95,1284876.45
CL2 ASPH BASE 0.75D PG64-22,16071,TON,79.95,1284876.45
CL3 ASPH BASE 1.00D PG64-22,3221,TON,95.1,306317.1
CL3 ASPH BASE 1.00D PG64-22,3221,TON,100,322100
CL3 ASPH BASE 1.00D PG64-22,3221,TON,95.1,306317.1
CL3 ASPH BASE 1.00D PG64-22,3221,TON,95.1,306317.1
CL3 ASPH BASE 1.00D PG64-22,3221,TON,105,338205
CL3 ASPH SURF 0.38D PG64-22,301,TON,127.9,38497.9
CL3 ASPH SURF 0.38D PG64-22,301,TON,125,37625
CL3 ASPH SURF 0.38D PG64-22,301,TON,127.9,38497.9
CL3 ASPH SURF 0.38D PG64-22,301,TON,127,38227
CL3 ASPH SURF 0.38D PG64-22,301,TON,140,42140
CL2 ASPH BASE 1.50D PG64-22,1664,TON,63,104832
CL2 ASPH BASE 1.00D PG64-22,15098,TON,58.8,887762.4
CL3 ASPH BASE 1.00D PG64-22,115935,TON,58.8,6816978
