Item Description,Quantity,Unit,Unit Price,Extension
HOT MIX ASPHALT 12.5 M 64 SURFACE COURSE,10206,T,71.41,728810.46
HOT MIX ASPHALT 12.5 M 64 SURFACE COURSE,10206,T,71.75,732280.5
HOT MIX ASPHALT 12.5 M 64 SURFACE COURSE,10206,T,68.15,695538.9
HOT MIX ASPHALT 12.5 M 64 SURFACE COURSE,10206,T,76,775656
HOT MIX ASPHALT 12.5 M 64 SURFACE COURSE,10206,T,75.89,774533.34
HOT MIX ASPHALT 12.5 M 64 SURFACE COURSE,10206,T,76,775656
HOT MIX ASPHALT 12.5 M 64 SURFACE COURSE,10206,T,81.8,834850.8
HOT MIX ASPHALT 12.5 M 64 SURFACE COURSE,10206,T,80,816480
HOT MIX ASPHALT 12.5 M 64 SURFACE COURSE,10206,T,77,785862
HOT MIX ASPHALT 12.5 M 76 SURFACE COURSE,2492,T,74.86,186551.12
HOT MIX ASPHALT 12.5 M 76 SURFACE COURSE,2492,T,75.95,189267.4
HOT MIX ASPHALT 12.5 M 76 SURFACE COURSE,2492,T,81.65,203471.8
HOT MIX ASPHALT 12.5 M 76 SURFACE COURSE,2492,T,79.75,198737
HOT MIX ASPHALT 12.5 M 76 SURFACE COURSE,2492,T,83.56,208231.52
HOT MIX ASPHALT 12.5 M 76 SURFACE COURSE,2492,T,77,191884
HOT MIX ASPHALT 12.5 M 76 SURFACE COURSE,2492,T,84.14,209676.88
HOT MIX ASPHALT 12.5 M 76 SURFACE COURSE,2492,T,90,224280
HOT MIX ASPHALT 12.5 M 76 SURFACE COURSE,2492,T,83,206836
HOT MIX ASPHALT 12.5 M 76 SURFACE COURSE,2492,T,85,211820
HOT MIX ASPHALT 9.5 M 64 INTERMEDIATE COURSE,14886,T,65.19,970418.34
HOT MIX ASPHALT 9.5 M 64 INTERMEDIATE COURSE,14886,T,70.65,1051695.9
HOT MIX ASPHALT 9.5 M 64 INTERMEDIATE COURSE,14886,T,76.55,1139523.3
HOT MIX ASPHALT 9.5 M 64 INTERMEDIATE COURSE,14886,T,77.55,1154409.3
HOT MIX ASPHALT 9.5 M 64 INTERMEDIATE COURSE,14886,T,81.01,1205914.86
HOT MIX ASPHALT 9.5 M 64 INTERMEDIATE COURSE,14886,T,75,1116450
HOT MIX ASPHALT 9.5 M 64 INTERMEDIATE COURSE,14886,T,73.59,1095460.74
HOT MIX ASPHALT 9.5 M 64 INTERMEDIATE COURSE,14886,T,85,1265310
HOT MIX ASPHALT 9.5 M 64 INTERMEDIATE COURSE,14886,T,77.25,1149943.5
HOT MIX ASPHALT 9.5 M 64 INTERMEDIATE COURSE,14886,T,77,1146222
HOT MIX ASPHALT 12.5 M 64 INTERMEDIATE COURSE,3733,T,65.32,243839.56
HOT MIX ASPHALT 12.5 M 64 INTERMEDIATE COURSE,3733,T,69.2,258323.6
HOT MIX ASPHALT 12.5 M 64 INTERMEDIATE COURSE,3733,T,75.95,283521.35
HOT MIX ASPHALT 12.5 M 64 INTERMEDIATE COURSE,3733,T,76,283708
HOT MIX ASPHALT 12.5 M 64 INTERMEDIATE COURSE,3733,T,80.69,301215.77
HOT MIX ASPHALT 12.5 M 64 INTERMEDIATE COURSE,3733,T,76,283708
HOT MIX ASPHALT 12.5 M 64 INTERMEDIATE COURSE,3733,T,69.55,259630.15
HOT MIX ASPHALT 12.5 M 64 INTERMEDIATE COURSE,3733,T,80,298640
