Item Description,Quantity,Unit,Unit Price,Extension
"ASPHALT CONCRETE BASE, PG64-22 (WT:  10)",28,CY,275,7700
"ASPHALT CONCRETE BASE, PG64-22 (WT:  10)",28,CY,220,6160
"ASPHALT CONCRETE BASE, PG64-22 (WT:  10)",28,CY,280,7840
"ASPHALT CONCRETE BASE, PG64-22 (WT:  10)",28,CY,141.4,3959.2
"ASPHALT CONCRETE BASE, PG64-22 (WT:  10)",28,CY,255,7140
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 2, PG64-22 (WT:  10)",8,CY,265,2120
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 2, PG64-22 (WT:  10)",8,CY,240,1920
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 2, PG64-22 (WT:  10)",8,CY,250,2000
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 2, PG64-22 (WT:  10)",8,CY,241.8,1934.4
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 2, PG64-22 (WT:  10)",8,CY,250,2000
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 2, PG64-22 (WT:  10)",8,CY,250,2000
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 2, PG64-22 (WT:  10)",8,CY,255,2040
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 2, PG64-22 (WT:  10)",8,CY,250,2000
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 2, PG64-22 (WT:  10)",8,CY,250.85,2006.8
"ASPHALT CONCRETE SURFACE COURSE, TYPE 1, PG64-22 (WT:  10)",26,CY,265,6890
"ASPHALT CONCRETE SURFACE COURSE, TYPE 1, PG64-22 (WT:  10)",26,CY,240,6240
"ASPHALT CONCRETE SURFACE COURSE, TYPE 1, PG64-22 (WT:  10)",26,CY,250,6500
"ASPHALT CONCRETE SURFACE COURSE, TYPE 1, PG64-22 (WT:  10)",26,CY,220.1,5722.6
"ASPHALT CONCRETE SURFACE COURSE, TYPE 1, PG64-22 (WT:  10)",26,CY,250,6500
"ASPHALT CONCRETE SURFACE COURSE, TYPE 1, PG64-22 (WT:  10)",26,CY,250,6500
"ASPHALT CONCRETE SURFACE COURSE, TYPE 1, PG64-22 (WT:  10)",26,CY,255,6630
"ASPHALT CONCRETE SURFACE COURSE, TYPE 1, PG64-22 (WT:  10)",26,CY,250,6500
"ASPHALT CONCRETE SURFACE COURSE, TYPE 1, PG64-22 (WT:  10)",26,CY,250.85,6522.1
"ASPHALT CONCRETE BASE, PG64-22 (WT:  10)",1016,CY,132.82,134945.12
"ASPHALT CONCRETE BASE, PG64-22 (WT:  10)",1016,CY,121,122936
"ASPHALT CONCRETE BASE, PG64-22 (WT:  10)",1016,CY,125,127000
"ASPHALT CONCRETE BASE, PG64-22 (WT:  10)",1016,CY,125,127000
"ASPHALT CONCRETE BASE, PG64-22 (WT:  10)",1016,CY,132,134112
"ASPHALT CONCRETE BASE, PG64-22 (WT:  10)",1016,CY,107.5,109220
"ASPHALT CONCRETE BASE, PG64-22 (WT:  10)",1016,CY,129,131064
"ASPHALT CONCRETE BASE, PG64-22 (WT:  10)",1016,CY,115,116840
"ASPHALT CONCRETE BASE, PG64-22 (WT:  10)",1016,CY,115,116840
"ASPHALT CONCRETE BASE, PG64-22 (WT:  10)",1016,CY,122.1,124053.6
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 2, PG64-22 (WT:  10)",193,CY,132.82,25634.26
"ASPHALT CONCRETE INTERMEDIATE COURSE, TYPE 2, PG64-22 (WT:  10)",193,CY,145,27985
