Item Description,Quantity,Unit,Unit Price,Extension
ASPHALT CONCRETE TY. SM-12.5A,229,TON,136,31144
ASPHALT CONCRETE TY. SM-12.5A,229,TON,130.93,29982.97
ASPHALT CONCRETE TY. SM-12.5A,229,TON,156.04,35733.16
ASPHALT CONCRETE TY. IM-19.0A,239,TON,122,29158
ASPHALT CONCRETE TY. IM-19.0A,239,TON,116.92,27943.88
ASPHALT CONCRETE TY. IM-19.0A,239,TON,140.12,33488.68
ASPHALT CONCRETE TY. BM-25.0A,718,TON,105.5,75749
ASPHALT CONCRETE TY. BM-25.0A,718,TON,100.45,72123.1
ASPHALT CONCRETE TY. BM-25.0A,718,TON,114.32,82081.76
ASPHALT CONCRETE TY. SM-12.5A,822,TON,160.39,131840.58
ASPHALT CONCRETE TY. SM-12.5A,822,TON,140,115080
ASPHALT CONCRETE TY. IM-19.0A,872,TON,119,103768
ASPHALT CONCRETE TY. IM-19.0A,872,TON,114.8,100105.6
ASPHALT CONCRETE TY. IM-19.0A,872,TON,146.36,127625.92
ASPHALT CONCRETE TY. IM-19.0A,872,TON,130,113360
ASPHALT CONCRETE TY. BM-25.0A,1114,TON,105.75,117805.5
ASPHALT CONCRETE TY. BM-25.0A,1114,TON,101.75,113349.5
ASPHALT CONCRETE TY. BM-25.0A,1114,TON,129.99,144808.86
ASPHALT CONCRETE TY. BM-25.0A,1114,TON,110,122540
ASPHALT CONCRETE TY. SM-9.5D,180,TON,150,27000
ASPHALT CONCRETE TY. SM-9.5D,180,TON,152,27360
ASPHALT CONCRETE TY. SM-9.5D,180,TON,225,40500
ASPHALT CONCRETE TY. SM-9.5D,180,TON,120,21600
ASPHALT CONCRETE TY. BM-25.0A,165,TON,150,24750
ASPHALT CONCRETE TY. BM-25.0A,165,TON,150,24750
ASPHALT CONCRETE TY. BM-25.0A,165,TON,185,30525
ASPHALT CONCRETE TY. BM-25.0A,165,TON,100,16500
ASPHALT CONCRETE TY. SM-9.5A,803,TON,144.1,115712.3
ASPHALT CONCRETE TY. SM-9.5A,803,TON,139.1,111697.3
ASPHALT CONCRETE TY. SM-9.5A,803,TON,140.72,112998.16
ASPHALT CONCRETE TY. SM-9.5A,803,TON,147,118041
ASPHALT CONCRETE TY. SM-9.5A,803,TON,151.5,121654.5
ASPHALT CONCRETE TY. SM-9.5A,803,TON,150,120450
ASPHALT CONCRETE TY. BM-25.0A,625,TON,161.7,101062.5
ASPHALT CONCRETE TY. BM-25.0A,625,TON,155.57,97231.25
ASPHALT CONCRETE TY. BM-25.0A,625,TON,157.38,98362.5
ASPHALT CONCRETE TY. BM-25.0A,625,TON,165.5,103437.5
ASPHALT CONCRETE TY. BM-25.0A,625,TON,170,106250
ASPHALT CONCRETE TY. BM-25.0A,625,TON,160,100000
ASPHALT CONCRETE TY. IM-19.0A,4621,TON,68,314228
ASPHALT CONCRETE TY. IM-19.0A,4621,TON,68,314228
ASPHALT CONCRETE TY. IM-19.0A,4621,TON,65.65,303368.65
ASPHALT CONCRETE TY. IM-19.0A,4621,TON,68,314228
ASPHALT CONCRETE TY. IM-19.0A,4621,TON,69,318849
ASPHALT CONCRETE TY. IM-19.0A,4621,TON,72,332712
ASPHALT CONCRETE TY. IM-19.0A,4621,TON,79,365059
ASPHALT CONCRETE TY. IM-19.0A,4621,TON,76.94,355539.74
ASPHALT CONCRETE TY. SM-9.5A,3872,TON,78,302016
ASPHALT CONCRETE TY. SM-9.5A,3872,TON,74,286528
ASPHALT CONCRETE TY. SM-9.5A,3872,TON,72.3,279945.6
ASPHALT CONCRETE TY. SM-9.5A,3872,TON,75,290400
ASPHALT CONCRETE TY. SM-9.5A,3872,TON,76,294272
ASPHALT CONCRETE TY. SM-9.5A,3872,TON,77,298144
ASPHALT CONCRETE TY. SM-9.5A,3872,TON,85.5,331056
ASPHALT CONCRETE TY. SM-9.5A,3872,TON,84.75,328152
ASPHALT CONCRETE TY. BM-25.0A,7582,TON,56,424592
ASPHALT CONCRETE TY. BM-25.0A,7582,TON,62,470084
ASPHALT CONCRETE TY. BM-25.0A,7582,TON,60.5,458711
ASPHALT CONCRETE TY. BM-25.0A,7582,TON,63.5,481457
ASPHALT CONCRETE TY. BM-25.0A,7582,TON,63.75,483352.5
ASPHALT CONCRETE TY. BM-25.0A,7582,TON,67,507994
ASPHALT CONCRETE TY. BM-25.0A,7582,TON,73.5,557277
ASPHALT CONCRETE TY. BM-25.0A,7582,TON,70.92,537715.44
ASPHALT CONCRETE TY. SM-9.5A,722,TON,98,70756
ASPHALT CONCRETE TY. SM-9.5A,722,TON,96.6,69745.2
ASPHALT CONCRETE TY. SM-9.5A,722,TON,105,75810
ASPHALT CONCRETE TY. BM-25.0A,263,TON,98,25774
ASPHALT CONCRETE TY. BM-25.0A,263,TON,104.5,27483.5
ASPHALT CONCRETE TY. BM-25.0A,263,TON,95,24985
ASPHALT CONCRETE TY. SM-9.5D,150,TON,200,30000
ASPHALT CONCRETE TY. SM-9.5D,150,TON,203.92,30588
ASPHALT CONCRETE TY. SM-9.5D,150,TON,300,45000
ASPHALT CONCRETE TY. BM-25.0A,128,TON,185,23680
ASPHALT CONCRETE TY. BM-25.0A,128,TON,183.53,23491.84
ASPHALT CONCRETE TY. BM-25.0A,128,TON,300,38400
ASPHALT CONCRETE TY. SM-12.5A,370,TON,130.54,48299.8
ASPHALT CONCRETE TY. SM-12.5A,370,TON,136.75,50597.5
ASPHALT CONCRETE TY. SM-12.5A,370,TON,130.54,48299.8
ASPHALT CONCRETE TY. SM-12.5A,370,TON,130,48100
ASPHALT CONCRETE TY. SM-12.5A,370,TON,140,51800
ASPHALT CONCRETE TY. SM-12.5A,370,TON,138,51060
ASPHALT CONCRETE TY. SM-12.5A,370,TON,132,48840
ASPHALT CONCRETE TY. SM-12.5A,370,TON,136,50320
ASPHALT CONCRETE TY. SM-12.5A,370,TON,131.93,48814.1
ASPHALT CONCRETE TY. IM-19.0A,314,TON,122.98,38615.72
ASPHALT CONCRETE TY. IM-19.0A,314,TON,128.83,40452.62
ASPHALT CONCRETE TY. IM-19.0A,314,TON,122.98,38615.72
ASPHALT CONCRETE TY. IM-19.0A,314,TON,123,38622
ASPHALT CONCRETE TY. IM-19.0A,314,TON,130,40820
ASPHALT CONCRETE TY. IM-19.0A,314,TON,130,40820
ASPHALT CONCRETE TY. IM-19.0A,314,TON,125,39250
ASPHALT CONCRETE TY. IM-19.0A,314,TON,129,40506
ASPHALT CONCRETE TY. IM-19.0A,314,TON,124.29,39027.06
