Item Description,Quantity,Unit,Unit Price,Extension
"MARSHALL HMA BASE CRSE, SG, TY II",708,TN,72,50976
"MARSHALL HMA BASE CRSE, SG, TY II",708,TN,85,60180
"MARSHALL HMA BASE CRSE, SG, TY II",708,TN,76,53808
"MARSHALL HMA BASE CRSE, SG, TY II",708,TN,83,58764
"MARSHALL HMA BASE CRSE, SG, TY II",708,TN,84,59472
"MARSHALL HMA WEAR CRSE, SG, TY I",236,TN,94,22184
"MARSHALL HMA WEAR CRSE, SG, TY I",236,TN,97,22892
"MARSHALL HMA WEAR CRSE, SG, TY I",236,TN,87.6,20673.6
"MARSHALL HMA WEAR CRSE, SG, TY I",236,TN,93.5,22066
"MARSHALL HMA WEAR CRSE, SG, TY I",236,TN,96,22656
"MARSHALL SCRATCH CRSE, SG, TY I",1165,TN,78,90870
"MARSHALL SCRATCH CRSE, SG, TY I",1165,TN,76.75,89413.75
"MARSHALL SCRATCH CRSE, SG, TY I",1165,TN,89.5,104267.5
"MARSHALL HMA SKID PVT, SG, TY I",2785,TN,82.8,230598
"MARSHALL HMA SKID PVT, SG, TY I",2785,TN,83,231155
"MARSHALL HMA SKID PVT, SG, TY I",2785,TN,90,250650
"MARSHALL HMA BASE CRSE, SG, TY II",7,TN,375,2625
"MARSHALL HMA BASE CRSE, SG, TY II",7,TN,500,3500
"MARSHALL HMA BASE CRSE, SG, TY II",7,TN,400,2800
"MARSHALL HMA WEAR CRSE, SG, TY I",93,TN,305,28365
"MARSHALL HMA WEAR CRSE, SG, TY I",93,TN,230,21390
"MARSHALL HMA WEAR CRSE, SG, TY I",93,TN,185,17205
"SUPERPAVE HMA SKID PVT, S, TY 9.5",1948,TN,170,331160
"MARSHALL HMA BASE CRSE, SG, TY II 4""",8,TN,150,1200
"MARSHALL HMA BASE CRSE, SG, TY II 4""",8,TN,275,2200
"MARSHALL HMA BASE CRSE, SG, TY II 4""",8,TN,300,2400
"MARSHALL HMA BASE CRSE, SG, TY II 4""",8,TN,305,2440
"MARSHALL HMA BASE CRSE, SG, TY II 4""",8,TN,290,2320
"MARSHALL HMA BASE CRSE, SG, TY II 4""",8,TN,220,1760
"MARSHALL HMA WEAR CRSE, SG, TY I 1.5""",24,TN,150,3600
"MARSHALL HMA WEAR CRSE, SG, TY I 1.5""",24,TN,275,6600
"MARSHALL HMA WEAR CRSE, SG, TY I 1.5""",24,TN,300,7200
"MARSHALL HMA WEAR CRSE, SG, TY I 1.5""",24,TN,305,7320
"MARSHALL HMA WEAR CRSE, SG, TY I 1.5""",24,TN,290,6960
"MARSHALL HMA WEAR CRSE, SG, TY I 1.5""",24,TN,220,5280
"MARSHALL HMA BASE CRSE, SG, TY I",319,TN,90,28710
"MARSHALL HMA BASE CRSE, SG, TY I",319,TN,109,34771
"MARSHALL HMA BASE CRSE, SG, TY I",319,TN,105,33495
"MARSHALL HMA BASE CRSE, SG, TY I",319,TN,110,35090
"MARSHALL HMA BASE CRSE, SG, TY I",319,TN,93.5,29826.5
"MARSHALL HMA BASE CRSE, SG, TY I",319,TN,115,36685
"MARSHALL HMA BASE CRSE, SG, TY I",319,TN,93.5,29826.5
"MARSHALL HMA BASE CRSE, SG, TY II",566,TN,90,50940
"MARSHALL HMA BASE CRSE, SG, TY II",566,TN,121,68486
"MARSHALL HMA BASE CRSE, SG, TY II",566,TN,115,65090
"MARSHALL HMA BASE CRSE, SG, TY II",566,TN,120,67920
"MARSHALL HMA BASE CRSE, SG, TY II",566,TN,104,58864
"MARSHALL HMA BASE CRSE, SG, TY II",566,TN,110,62260
"MARSHALL HMA BASE CRSE, SG, TY II",566,TN,104,58864
"MARSHALL HMA SKID PVT, SG, TY I",276,TN,90,24840
"MARSHALL HMA SKID PVT, SG, TY I",276,TN,130,35880
"MARSHALL HMA SKID PVT, SG, TY I",276,TN,125,34500
